id,construct,dimension,dimension_description,indicator,text
syn_0000,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I just stared at my planner for twenty minutes. Between the history paper, chem lab, and two chapters of math, my brain just shut off. I don't even know where to start, and the pile of stuff just feels like it's going to swallow me whole."
syn_0001,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My friends asked if I wanted to go into town, but I had to say no. I have three assignments due tomorrow that I haven't even started. The weight of it all is just too much to think about leaving my desk."
syn_0002,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"It's 1 AM and I'm still working. I've been at this essay for four hours. Every time I finish a paragraph, two more tasks pop into my head. I'm just drowning in deadlines."
syn_0003,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I feel like I'm constantly running on a treadmill that's getting faster. New homework gets added before I finish the old pile. I'm tired before the day even begins.
syn_0004,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,Trying to keep up with all my classes is like trying to drink from a fire hose. There's just no way to process it all. My head is so full of due dates and reading lists I can't hear my own thoughts.
syn_0005,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I sat down to study for one test and realized I have a project, a quiz, and a paper all in the same week. The stress is physical. My chest feels tight just looking at my syllabus."
syn_0006,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My backpack weighs a ton, and so does my mind. Every class adds more. I'm not lazy; I'm just buried. I don't know how to dig myself out."
syn_0007,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I skipped lunch to try and get ahead. By the time I finished one assignment, three more had been posted. It's a never-ending cycle that I can't escape."
syn_0008,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The list never gets shorter. I cross one thing off and two more appear. I'm just going through the motions, completely swamped by everything they expect us to do."
syn_0009,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I had a breakdown last night because I couldn't figure out which assignment to tackle first. There's no hierarchy, it's just chaos. The volume is crushing."
syn_0010,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My brain feels like a browser with too many tabs open. I can't focus on anything. The sheer amount of work is paralyzing.
syn_0011,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I'm falling behind in everything. It's not that I don't want to do it; I look at the total workload and just feel a massive wave of defeat before I even start.
syn_0012,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I used to be organized. Now I just have a messy list of everything I'm not doing. The backlog is huge, and it feels impossible to catch up. It's suffocating."
syn_0013,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"Between AP classes and the job, my schoolwork is this monstrous thing that follows me everywhere. I can't relax because it's always there, waiting."
syn_0014,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm not sleeping well because my mind won't stop going over all the things I need to do. It's a constant, low-grade panic about being buried in work."
syn_0015,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,Trying to manage my time feels useless. There are simply not enough hours in the day for what they assign. I'm perpetually behind.
syn_0016,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I look at my weekly schedule and just sigh. It's packed from morning until night with academic obligations. There's no breathing room.
syn_0017,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The workload isn't just hard; it's massive. I feel like I'm carrying a boulder up a hill. Every step is a struggle, and the hill keeps getting longer."
syn_0018,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm just so tired of feeling like I'm always behind. No matter how much I do, it's never enough. The pressure is relentless."
syn_0019,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My desk is covered in half-finished assignments from different classes. I jump between them, never completing anything fully because there's always something else. It's chaotic and exhausting."
syn_0020,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I've started to zone out in class just thinking about all the work waiting for me. It's hard to pay attention when your mind is drowning in a to-do list.
syn_0021,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,The expectations are so high. Every class feels like a full-time job on its own. Putting them all together is just unsustainable.
syn_0022,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I feel like I'm failing at everything because I can't give any one subject the attention it needs. I'm spread so thin I'm transparent.
syn_0023,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My weekends are no longer for rest. They're for catching up on the mountain of work that built up during the week. It's a vicious cycle.
syn_0024,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I get anxiety just opening my backpack. The number of textbooks and binders is a visual representation of how much I have to do. It's overwhelming.
syn_0025,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I used to love learning. Now it just feels like a relentless series of obligations. The volume of work has killed any joy I had.
syn_0026,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"My energy is completely tapped by 3 PM. Not from the day's activities, but from the mental load of knowing what's still left to do."
syn_0027,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm just plodding through. There's no enthusiasm, just a grim determination to survive the next deadline. The workload is a constant fog."
syn_0028,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,The teachers don't seem to coordinate. It's like they think their class is the only one we have. The resulting pile is impossible to manage.
syn_0029,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm emotionally drained not from the difficulty, but from the sheer quantity. It's not a puzzle to solve; it's a quota to meet. And I'm drowning."
syn_0030,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I look at the week ahead and see nothing but assignments. There's no space for anything else. My personal life is on hold because schoolwork consumes everything.
syn_0031,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I'm starting to hand in late work because I can't physically do it all on time. It's not a choice; it's a math problem where the required hours exceed the available hours.
syn_0032,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The stress isn't about failing. It's about the constant, grinding pressure of the volume. It's a weight on my shoulders that never lifts."
syn_0033,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I've stopped making plans. What's the point? I'll just have to cancel because I'll be buried in schoolwork. It's easier to just accept I'm not available.
syn_0034,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My motivation is dead because the task list is endless. Why start one thing when five others are screaming for attention? It's a recipe for paralysis.
syn_0035,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I feel like I'm on a conveyor belt. Work comes, I do it, more comes. There's no pause button. The relentless pace is exhausting."
syn_0036,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The coursework has blurred together. It's not distinct subjects anymore; it's one big, amorphous blob of 'stuff to do.' I can't even separate it in my mind."
syn_0037,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm tired all the time, but it's a mental tiredness. My body is fine; my mind is exhausted from the constant processing of academic demands."
syn_0038,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"It's the small things that get me. Another reading to add to the list. Another problem set. They seem tiny alone, but together they're a tsunami."
syn_0039,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I've started to resent my textbooks. They're not tools; they're monuments to all the things I haven't mastered yet. The stack is a reminder of my overwhelm.
syn_0040,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,There's no 'later.' Later is just when more things are due. I feel like I'm perpetually catching a falling knife. It's exhausting.
syn_0041,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My study techniques don't work anymore because the volume is too high. Efficient effort is still not enough hours. I'm just overwhelmed by the scale of it.
